"old_name","current_name"
"Prevotella enoeca","Hoylesella enoeca"
"Prevotella oris","Segatella oris"
"Prevotella ruminicola","Xylanibacter ruminicola"
"Tannerella sp. oral taxon HOT-286","Tannerella serpentiformis"
"Gramella forsetii","Christiangramia forsetii"
"Gramella flava","Christiangramia flava"
"Gramella echinicola","Christiangramia echinicola"
"Muricauda ruestringensis","Flagellimonas ruestringensis"
"Chryseobacterium haifense","Kaistella haifensis"
"Ruminococcus gnavus","Mediterraneibacter gnavus"
"Clostridium scindens","[Clostridium] scindens"
"Clostridium hylemonae","[Clostridium] hylemonae"
"Ruminococcus bicirculans","Ruminococcus bicirculans (ex Liu et al. 2021) <Ruminococcus bicirculans (ex Liu et al. 2021)>"
"Clostridium cellulosi","[Clostridium] cellulosi"
"Paeniclostridium sordellii","Paraclostridium sordellii"
"Eubacterium sulci","[Eubacterium] sulci"
"Eubacterium minutum","[Eubacterium] minutum"
"Eubacterium cellulosolvens","[Eubacterium] cellulosolvens"
"Desulfotomaculum ruminis","Desulforamulus ruminis"
"Desulfotomaculum reducens","Desulforamulus reducens"
"Desulfallas gibsoniae","Desulfoscipio gibsoniae"
"Hungateiclostridium clariflavum","Acetivibrio clariflavus"
"Hungateiclostridium thermocellum","Acetivibrio thermocellus"
"Pseudoclostridium thermosuccinogenes","Clostridium thermosuccinogenes"
"Heliobacterium modesticaldum","Heliomicrobium modesticaldum"
"Caldicellulosiruptor lactoaceticus","Caldicellulosiruptor acetigenus"
"Moorella thermoacetica","Neomoorella thermoacetica"
"Lactococcus raffinolactis","Pseudolactococcus raffinolactis"
"Lactococcus piscium","Pseudolactococcus piscium"
"Lactobacillus ruminis","Ligilactobacillus ruminis"
"Lactobacillus sp. 1A","Ligilactobacillus saerimneri"
"Lactobacillus salivarius","Ligilactobacillus salivarius"
"Lactobacillus reuteri","Limosilactobacillus reuteri"
"Lactobacillus casei","Lacticaseibacillus casei"
"Lactobacillus zeae","Lacticaseibacillus zeae"
