#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7
d__Bacteria	69472	45955	69714	80547	71113	52935	72203
d__Bacteria|p__Elusimicrobia	0	0	0	2	1	0	0
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia	0	0	0	0	1	0	0
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	0	0	0	0	1	0	0
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae	0	0	0	0	1	0	0
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium	0	0	0	0	1	0	0
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium minutum	0	0	0	0	1	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia	0	0	0	2	0	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales	0	0	0	2	0	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae	0	0	0	2	0	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium	0	0	0	2	0	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Candidatus Endomicrobium trichonymphae	0	0	0	2	0	0	0
d__Bacteria|p__candidate division Zixibacteria	0	0	0	1	0	0	0
d__Bacteria|p__candidate division Zixibacteria|s__candidate division Zixibacteria bacterium	0	0	0	1	0	0	0
d__Bacteria|p__Caldiserica	0	0	1	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia	0	0	1	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales	0	0	1	0	0	0	0
d__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales|f__Caldisericaceae	0	0	1	0	0	0	0
